,lambda_,alpha,max_iter,0,1,2,3
0,1.0,0.0005,100000,"[[1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]]","[[1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]]","[[1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]]","[[1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]
 [1.]]"
0,0.0,0.0005,100000,"[[-0.53323958]
 [-0.42483058]
 [-0.18408492]
 [ 0.68753223]
 [-0.47763685]
 [-0.21591616]
 [-0.63397917]
 [-0.06063906]
 [-0.32457549]
 [-0.16801488]]","[[-1.01561373]
 [ 0.29643689]
 [-0.96216161]
 [ 1.16091728]
 [-0.09883446]
 [-0.58939622]
 [ 0.26560057]
 [-0.00977225]
 [ 0.01101941]
 [-0.09079138]]","[[-0.83610849]
 [ 1.82236904]
 [ 0.99976887]
 [ 0.16777378]
 [ 0.09046354]
 [-0.7851931 ]
 [-0.35558704]
 [-0.15753853]
 [ 0.13281842]
 [-0.11076805]]","[[-0.85706614]
 [ 0.27392374]
 [ 1.08858112]
 [-0.5516383 ]
 [-0.69400414]
 [-0.46686076]
 [-0.72802455]
 [-0.86579761]
 [ 0.2646593 ]
 [-0.46135495]]"
1,0.2,0.0005,100000,"[[-0.53969894]
 [-0.42871507]
 [-0.19012549]
 [ 0.66162364]
 [-0.46560884]
 [-0.21138406]
 [-0.62309633]
 [-0.05448348]
 [-0.31815008]
 [-0.15908464]]","[[-1.01461373]
 [ 0.27758429]
 [-0.94711664]
 [ 1.12618392]
 [-0.09947412]
 [-0.5729206 ]
 [ 0.26286943]
 [-0.00701858]
 [ 0.01346701]
 [-0.08129446]]","[[-0.83455256]
 [ 1.77006485]
 [ 0.96771352]
 [ 0.14964333]
 [ 0.08527107]
 [-0.76255288]
 [-0.34549039]
 [-0.14683888]
 [ 0.13115319]
 [-0.10356119]]","[[-0.85916365]
 [ 0.24985119]
 [ 1.05630784]
 [-0.55242533]
 [-0.67006443]
 [-0.4539062 ]
 [-0.70960556]
 [-0.83994222]
 [ 0.26277523]
 [-0.45049139]]"
2,0.4,0.0005,100000,"[[-0.54604638]
 [-0.43201076]
 [-0.19566284]
 [ 0.63696813]
 [-0.45428794]
 [-0.20703068]
 [-0.61261099]
 [-0.04890878]
 [-0.31211837]
 [-0.15062059]]","[[-1.01371301]
 [ 0.25976447]
 [-0.93241638]
 [ 1.09299224]
 [-0.10003832]
 [-0.5572502 ]
 [ 0.26017518]
 [-0.00444947]
 [ 0.01567217]
 [-0.07219003]]","[[-0.83317533]
 [ 1.72001939]
 [ 0.93717199]
 [ 0.13258223]
 [ 0.08029786]
 [-0.74103426]
 [-0.33594516]
 [-0.13653097]
 [ 0.12961031]
 [-0.09676014]]","[[-0.86133861]
 [ 0.22715717]
 [ 1.02549671]
 [-0.55279469]
 [-0.64718845]
 [-0.44153886]
 [-0.69186124]
 [-0.81529319]
 [ 0.26102226]
 [-0.44018372]]"
3,0.6,0.0005,100000,"[[-0.5522824 ]
 [-0.43475585]
 [-0.20072834]
 [ 0.61350006]
 [-0.44363121]
 [-0.20284521]
 [-0.60250287]
 [-0.043876  ]
 [-0.30645487]
 [-0.14259679]]","[[-1.01290493]
 [ 0.24292078]
 [-0.91805256]
 [ 1.06126496]
 [-0.10053041]
 [-0.54234315]
 [ 0.25751739]
 [-0.00205415]
 [ 0.01765004]
 [-0.0634607 ]]","[[-0.83196734]
 [ 1.67211761]
 [ 0.908065  ]
 [ 0.1165309 ]
 [ 0.07553752]
 [-0.72057783]
 [-0.32691883]
 [-0.12659946]
 [ 0.1281842 ]
 [-0.0903446 ]]","[[-0.86358317]
 [ 0.20576641]
 [ 0.99607344]
 [-0.55277747]
 [-0.62532613]
 [-0.4297276 ]
 [-0.67476257]
 [-0.79179157]
 [ 0.25939182]
 [-0.43040178]]"
4,0.8,0.0005,100000,"[[-0.55840757]
 [-0.43698639]
 [-0.20535155]
 [ 0.59115744]
 [-0.43359706]
 [-0.19881756]
 [-0.59275279]
 [-0.03934725]
 [-0.30113544]
 [-0.13498859]]","[[-1.01218328e+00]
 [ 2.26999749e-01]
 [-9.04016927e-01]
 [ 1.03092894e+00]
 [-1.00953720e-01]
 [-5.28159478e-01]
 [ 2.54895701e-01]
 [ 1.77539559e-04]
 [ 1.94150892e-02]
 [-5.50898806e-02]]","[[-0.83091943]
 [ 1.62625092]
 [ 0.88031743]
 [ 0.10143302]
 [ 0.07098361]
 [-0.70112698]
 [-0.31838072]
 [-0.11702969]
 [ 0.12686922]
 [-0.08429509]]","[[-0.86588982]
 [ 0.1856076 ]
 [ 0.96796753]
 [-0.55240281]
 [-0.60443   ]
 [-0.41844273]
 [-0.65828175]
 [-0.76938143]
 [ 0.25787566]
 [-0.42111702]]"
5,1.0,0.0005,100000,"[[-0.56442265]
 [-0.43873636]
 [-0.20956033]
 [ 0.56988169]
 [-0.4241453 ]
 [-0.19493829]
 [-0.58334257]
 [-0.03528581]
 [-0.29613725]
 [-0.12777263]]","[[-1.0115422 ]
 [ 0.21195092]
 [-0.8903013 ]
 [ 1.00191492]
 [-0.1013115 ]
 [-0.51466105]
 [ 0.25230986]
 [ 0.00225515]
 [ 0.02098116]
 [-0.04706177]]","[[-0.83002278]
 [ 1.58231686]
 [ 0.85385815]
 [ 0.08723543]
 [ 0.06662965]
 [-0.68262771]
 [-0.31030185]
 [-0.10780763]
 [ 0.12565964]
 [-0.07859293]]","[[-0.86825147]
 [ 0.16661317]
 [ 0.94111209]
 [-0.55169805]
 [-0.58445499]
 [-0.4076559 ]
 [-0.64239225]
 [-0.74800969]
 [ 0.25646585]
 [-0.41230234]]"
